Feat_number,Find_number,L_FH_estim,LFH_accuracy,L_FrontalHeight,R_FH_estim,RFH_accuracy,R_FrontalHeight,L_FW_estim,LFW_accuracy,L_FrontalWidth,R_FW_estim,RFW_accuracy,R_FrontalWidth,OsL_estim_young,OSL_young_accuracy,OsL_estim_old,OSL_old_accuracy,OccipitalSquamousLength,OsW_estim_young,OSW_young_accuracy,OsW_estim_old,OSW_old_accuracy,OccipitalSquamousWidth,OBL_estim_young,OBL_young_accuracy,OBL_estim_old,OBL_old_accuracy,OccipitalBasilarLength,OBW_estim_young,OBW_young_accuracy,OBW_estim_old,OBW_old_accuracy,OccipitalBasilarWidth,OBML_estim_youg,OBML_young_accuracy,OBML_estim_young,OBML_old_accuracy,OccipitalBasilarMaxLength,L_OLL_estim,LOLL_accuracy,L_OccipitalLateralLength,R_OLL_estim,ROLL_accuracy,R_OccipitalLateralLength,L_OLW_estim,LOWL_accuracy,L_OccipitalLateralWidth,R_OLW_estim,ROWL_accuracy,R_OccipitalLateralWidth,L_ZL_estim,LZL_accuracy,L_ZygomaticLength,R_ZL_estim,RZL_accuracy,R_ZygomaticLength,L_ZW_estim,LZW_accuracy,L_ZygomaticWidth,R_ZW_estim,RZW_accuracy,R_ZygomaticWidth,L_ML_estim_young,LML_young_accuracy,L_ML_estim_old,LML_old_accuracy,L_MaxillaLength,R_ML_estim_young,RML_young_accuracy,R_ML_estim_old,RML_old_accuracy,R_MaxillaLength,L_MW_estim_young,LMW_young_accuracy,L_MW_estim_old,LMW_old_accuracy,L_MaxillaWidth,R_MW_estim_young,RMW_young_accuracy,R_MW_estim_old,RMW_old_accuracy,R_MaxillaWidth,L_MH_estim_young,LMH_young_accuracy,L_MH_estim_old,LMH_old_accuracy,L_MaxillaHeight,R_MH_estim_young,RMH_young_accuracy,R_MH_estim_old,RMH_old_accuracy,R_MaxillaHeight,ChinH_estim,ChinH_accuracy,MandibleChinHeight,BB_estim_old,BB_old_accuracy,MandibleBicondylarBreadth,BW_estim_young,BW_young_accuracy,BW_estim_old,BW_old_accuracy,MandibleBigonialWidth,L_RH_estim_young,LRM_young_accuracy,L_MandibleRamusHeight,R_RH_estim_young,RRH_young_accuracy,R_MandibleRamusHeight,L_MML_estim_young,LMML_young_accuracy,L_MML_estim_old,LMML_old_accuracy,L_MandibleMaxLenght,R_MML_estim_young,RMML_young_accuracy,R_MML_estim_old,RMML_old_accuracy,R_MandibleMaxLenght,ArchivalAge,AgeRange
S293,V0495,,,95.12,,,93.57,,,,,,,,,8.533333333,yes,94.04,,,7.094527363,yes,105.1,1.650190114,no,2.220588235,yes,16.52,,,3.879518072,yes,26.78,,,3.983193277,yes,26.18,,,,,,,1.720698254,no,29,1.617206983,no,28.17,2.033088235,no,40.99,2.25122549,no,42.77,1.066202091,no,25.88,1.214285714,no,26.73,1.287414966,no,1.661538462,yes,30.21,1.069727891,no,-0.307692308,yes,28.93,2.04770318,no,6.049382716,yes,35.93,2.090106007,no,6.345679012,yes,36.17,,,8.211864407,yes,45.41,,,,,46.49,2.248888889,no,22.01,8.658878505,yes,94.47,,,6.463917526,yes,74.23,1.773863636,no,35.33,2.038636364,no,37.66,1.344723618,no,-0.702479339,no,62.53,1.006030151,no,,,59.16,4,2-6
S286,V0469,,,97.83,,,99.34,,,,,,,1.555740433,no,,,86.12,,,8.825870647,yes,108.58,,,6.882352941,yes,19.69,,,,,,,,,,,,,,,,,2.244389027,no,33.2,1.775561097,no,29.44,,,46.45,,,45.51,1.385017422,no,27.71,1.113240418,no,26.15,,,13.73846154,yes,38.06,2.399659864,no,11.72307692,yes,36.75,,,10.85185185,yes,39.82,,,11.88888889,yes,40.66,,,,,54.27,,,,,55.02,2.188888889,no,21.74,12.24299065,yes,102.14,,,7.958762887,yes,77.13,2.209090909,no,39.16,2.067045455,no,37.91,1.601005025,no,0.351239669,no,65.08,1.871356784,no,1.462809917,no,67.77,10,6-12
S248,V0393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.01,,,,,,7.891752577,yes,77,,,46.82,,,44.66,,,3.70661157,no,73.2,,,2.925619835,no,71.31,9,6-12
S245,V0390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.45,0.106617647,yes,25.27,,,15.91,-0.217770035,yes,18.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91,,,,,,,,,,,,,,,,,,,37.43,,,,,,0,<2
S227,V0297,,,,,,,,,,,,,,,,,,,,,,,-0.060836502,yes,,,12.02,-0.465028355,yes,,,12.61,-0.202352941,yes,,,15.09,0.01799775,yes,24.93,0.120359955,yes,25.84,-0.089775561,yes,14.48,-0.024937656,yes,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,,,,,,,,,,,,-0.153409091,yes,18.37,,,,,,,,,,33.39,0,<2
S215,V0250,,,93.46,,,95.3,,,,,,,1.580698835,no,,,86.57,,,8.820895522,no,108.57,,,6.014705882,yes,19.1,,,4.518072289,yes,27.31,,,5.168067227,yes,27.59,,,,,,,,,,,,,,,,,,43.71,0.970383275,no,25.33,0.817073171,no,24.45,1.346938776,no,2.2,yes,30.56,1.632653061,no,4.784615385,yes,32.24,1.881625442,no,4.888888889,yes,34.99,2.021201413,no,5.864197531,yes,35.78,,,,,49.47,,,,,49.21,1.804444444,no,20.01,7.887850467,yes,92.82,,,,,,,,,,,,,,,,,,,,,,4,2-6
S191,V0374,,,,-0.192513369,yes,47.63,,,,0.099154135,yes,47.06,,,,,,-0.175969726,yes,,,57.99,0.216730038,yes,,,12.75,-0.423440454,yes,,,12.83,-0.152941176,yes,,,15.3,-0.384701912,yes,21.35,-0.287964004,yes,22.21,-0.463840399,yes,11.48,-0.5,yes,11.19,-0.181372549,yes,22.92,-0.084558824,yes,23.71,-0.555749129,yes,16.57,-0.613240418,yes,16.24,-0.103741497,yes,,,22.03,,,,,,-0.247349823,yes,,,22.94,,,,,,,,,,23.15,,,,,22.48,-0.488888889,yes,9.69,,,,,,,,,,,,,,,,,,,37.75,,,,,36.52,0,<2
S190,V0310,0.706327986,yes,67.8,,,,0.722274436,yes,60.32,,,,,,,,,,,,,,1.174904943,yes,0.382352941,yes,15.27,0.894139887,yes,,,19.8,1.077647059,yes,,,20.53,,,,,,,1.201995012,yes,24.84,1.209476309,yes,24.9,0.870098039,yes,31.5,,,,0.484320557,yes,22.54,,,,0.840136054,yes,-2.384615385,yes,27.58,0.62755102,yes,-4.307692308,yes,26.33,1.526501767,no,2.407407407,yes,32.98,0.913427562,yes,-1.87654321,yes,29.51,1.101265823,yes,0.254237288,yes,36.02,1.164556962,yes,0.550847458,yes,36.37,0.773333333,yes,15.37,,,,0.831476323,yes,,,58.93,0.914772727,yes,27.77,0.880681818,yes,27.47,-0.322613065,yes,,,45.94,,,,,,0.4,<2
S181,V0407,,,8.95,,,89.09,,,,,,,1.833056018,no,5.752380952,yes,91.12,,,,,,1.296577947,no,0.852941176,yes,15.59,,,6.409638554,yes,28.88,,,3.210084034,yes,25.26,,,,,,,,,,,,,,,,1.854166667,no,39.53,,,,1.616724739,no,29.04,,,,,,,,,,,2.03180212,no,5.938271605,yes,35.84,,,,,,,,,,49.26,,,,,,1.684444444,no,19.47,,,,,,,,,,,,1.755681818,no,35.17,,,,,,0.826130653,no,,,57.37,4,2-6
S177,V0413,,,,,,,,,,,,,,,8.857142857,yes,94.38,,,,,,,,4.911764706,yes,18.35,,,8.21686747,no,30.38,,,4.966386555,yes,27.35,,,,,,,,,,,,,,,,,,,0.522648084,no,22.76,,,,0.921768707,no,-1.646153846,yes,28.06,0.880952381,no,-2.015384615,yes,27.82,1.918727915,no,5.148148148,yes,35.2,1.828621908,no,4.518518519,yes,34.69,,,,,48.76,,,,,47.45,2.104444444,no,21.36,4.542056075,yes,85.66,,,,,,1.785227273,no,35.43,,,,1.234170854,no,-1.157024793,yes,61.43,,,,,,3,2-6
